Id,start,end,para,name,timestamp,actor,type,text
26134297,159,160,OPT_ID_1162,optJH7WmluqRVhQb7V3zVh88JItvNcac9dz,1582184105389,au,clear-superscript,a
26134299,159,160,OPT_ID_1162,opt8Yxrs6IdaTnXSfHc5mEvcOaWIiTF1XfB,1582184105409,au,clear-superscript,a
26134301,159,160,OPT_ID_1162,optuMgqBzyIU26SNouNX1YROoVA3U2VDJdY,1582184105429,au,clear-superscript,a
26134303,159,160,OPT_ID_1162,optROjGd5Lso9NciDcwqQWzdCIHu13edirm,1582184105449,au,clear-superscript,a
26134305,159,160,OPT_ID_1162,optGo3Sv2UbJcd5NXbUD0BZAVAa59PfdmDR,1582184105469,au,clear-superscript,a
26134307,159,160,OPT_ID_1162,optEwZ1eT8BrVcjvYhX2zrspkcYlfG1rEi5,1582184105489,au,clear-superscript,a
26134309,159,160,OPT_ID_1162,optcdCSyYjsxMtnwjPvStwasZhSmdG0kBBp,1582184105509,au,clear-superscript,a
26134311,159,160,OPT_ID_1162,opt6noZWmuma6kad7BgPTTsUAn3mVluVKap,1582184105529,au,clear-superscript,a
26134313,159,160,OPT_ID_1162,optSZbjd4RgqLexqOfgHhLARMjd9hQk2pIU,1582184105549,au,clear-superscript,a
26134315,159,160,OPT_ID_1162,optzL7tZQ9xuzVYkqFav43BDV5cuEG6Xa50,1582184105579,au,clear-superscript,a
26134317,159,160,OPT_ID_1162,optSVPRySfEeEwiZeCRC755faFo5wHOs5Am,1582184105599,au,clear-superscript,a
26134318,159,160,OPT_ID_1162,optS0Y6nOkRyfW5hlDzwiUwBPQpZAKLlNYt,1582184105629,au,clear-superscript,a
26134320,159,160,OPT_ID_1162,optoX1xsG7Cgz7dN1dmOJWraQtUH2Vy5o8g,1582184105649,au,clear-superscript,a
26134322,159,160,OPT_ID_1162,optdDTa2JYcd7azqVS35o26iautd21h5Tyb,1582184105669,au,clear-superscript,a
26134324,159,160,OPT_ID_1162,optyvFfU4qShByfkSy0jqlnz9V7YqyQGn8F,1582184105689,au,clear-superscript,a
26134326,159,160,OPT_ID_1162,optUaNXyoowjszEpebFRgjiUmjPt4gieF4c,1582184105709,au,clear-superscript,a
26134328,159,160,OPT_ID_1162,optvotslLLrbGIr6zeTjmvz86vBCxJ9QeAH,1582184105729,au,clear-superscript,a
26134330,159,160,OPT_ID_1162,optb3Rhj7mEAzP3nrbRg0bNoHyPC3VenacW,1582184105749,au,clear-superscript,a
26134332,159,160,OPT_ID_1162,opt98M3vLx0iUzjjFWgqrwoATHiHEmGO4Jz,1582184105769,au,clear-superscript,a
26134334,159,160,OPT_ID_1162,optaF1O5TddNKP6quY8J3ct26GjboLGaBTO,1582184105789,au,clear-superscript,a
26134336,159,160,OPT_ID_1162,optvOeNwYk4DVJ6T3E5dlNvvu5geskqBGiT,1582184105809,au,clear-superscript,a
26134338,159,160,OPT_ID_1162,optVCiIXRb1VV5pZ9YH5Sxvq88nnUjzoGPY,1582184105829,au,clear-superscript,a
26134340,159,160,OPT_ID_1162,optjn80BvOlWVwdpkUFjNWXs8URSO9cB7Wb,1582184105849,au,clear-superscript,a
26134342,159,160,OPT_ID_1162,optDaJDerqmUM2wcJ17HxfG2JUhmWy4HcSP,1582184105879,au,clear-superscript,a
26134344,159,160,OPT_ID_1162,optaaeGykiSZl8Mf6xGy6tJ8SdwEarByFsX,1582184105899,au,clear-superscript,a
26134346,159,160,OPT_ID_1162,opt7moT9JNWtUaYvanuWpKibWy3hsq4UE9W,1582184105919,au,clear-superscript,a
26134349,159,160,OPT_ID_1162,optXlI5dZrq2dCKzmuXyPrQ5Y3xCy9UEvzL,1582184105969,au,clear-superscript,a
26134414,159,160,OPT_ID_1162,optUFegzdd7M7KjxKvngJJbKcfjZFww9tvL,1582184105989,au,clear-superscript,a
26134416,159,160,OPT_ID_1162,optULfcgshY0VRdVXPwlFPPvJgHke8BlKvT,1582184106009,au,clear-superscript,a
26134418,159,160,OPT_ID_1162,opthtFNoyAYsA1BfRr0F6cOib23yWYQFnYq,1582184106029,au,clear-superscript,a
26134420,159,160,OPT_ID_1162,optygDj06Za3I6uyweJljKeUoqCImZfO4lK,1582184106049,au,clear-superscript,a
26134422,159,160,OPT_ID_1162,optVwgEaCO2VfIP8sbuqmkvKLe1w9Mo85Qi,1582184106069,au,clear-superscript,a
26134424,159,160,OPT_ID_1162,optm349MVYUzYGHJGGwNCbrXtDuC2dR41bm,1582184106089,au,clear-superscript,a
26134426,159,160,OPT_ID_1162,optd8SMlmiZcnnpIs5trJrawr91WxyZonNC,1582184106109,au,clear-superscript,a
26134428,159,160,OPT_ID_1162,opt15OLSpDZlLcuhX29ahXYNOouPbQzWaUa,1582184106129,au,clear-superscript,a
26134430,159,160,OPT_ID_1162,optQvi5KzZnnUD7l8MMNuU9eTL9GExJqIHG,1582184106149,au,clear-superscript,a
26134432,159,160,OPT_ID_1162,optQ2sxffaHzMwOrX79iJxW6eGblG28aZa9,1582184106169,au,clear-superscript,a
26134434,159,160,OPT_ID_1162,optcTUI34XiaST4CjN5R7h610HcFbqVatMm,1582184106189,au,clear-superscript,a
26134436,159,160,OPT_ID_1162,optXG8j1OTemO7A5Aq9Ph2ZvxsYNIzbAshr,1582184106219,au,clear-superscript,a
26134438,159,160,OPT_ID_1162,optx3mv8vdgRHiNe2pzmTDJwWO6tfd1YjxR,1582184106239,au,clear-superscript,a
26134440,159,160,OPT_ID_1162,optTOOgS57mv4RFQF2AhejmNmn5ggRZ12IX,1582184106259,au,clear-superscript,a
26134442,159,160,OPT_ID_1162,optgHcNcRYeJOZJb1FmdOxQDjFQFz8B6kXI,1582184106279,au,clear-superscript,a
26134443,159,160,OPT_ID_1162,opt9xygmVTcWLKekhlVLZqHhzDxZLInyfgj,1582184106309,au,clear-superscript,a
26134445,159,160,OPT_ID_1162,optEdwQukYnEC0BaHfhchHsVXkGGIhz9gEq,1582184106329,au,clear-superscript,a
26134447,159,160,OPT_ID_1162,optPvOlpn73tGrqHog3B15xhxqJBiSy8jTd,1582184106349,au,clear-superscript,a
26134449,159,160,OPT_ID_1162,optEqIewV2cfGYlIJljx4YljeSUAvVZuHce,1582184106369,au,clear-superscript,a
26134451,159,160,OPT_ID_1162,optUXkmmYeDw61vUuY1SY3Xi2yEm8nUcYD8,1582184106389,au,clear-superscript,a
26134453,159,160,OPT_ID_1162,optY70D901efhDO9oDJ1yKlMae3Lk6CjE7E,1582184106409,au,clear-superscript,a
26134455,159,160,OPT_ID_1162,optTqBIH5TEVsECxibiQ1t0XlALOFxHnogx,1582184106429,au,clear-superscript,a
26134457,159,160,OPT_ID_1162,optVMzGrdLFmnHdaD08O1ktKMZAg9D4cE48,1582184106449,au,clear-superscript,a
26134459,159,160,OPT_ID_1162,optoMB5IyYJgmmhK9l2dh36zwWXGevGbkFs,1582184106469,au,clear-superscript,a
26134461,159,160,OPT_ID_1162,optYM5oR4LjGiIZKIbng8wuPY5ttHe4poui,1582184106489,au,clear-superscript,a
26134463,159,160,OPT_ID_1162,optHuDn5t2ZGyyagvoomUkFELvMS6yZhun5,1582184106509,au,clear-superscript,a
26134465,159,160,OPT_ID_1162,optdIOMrFOgr8FJ0npCILUf6T0ZXhUfAt3M,1582184106529,au,clear-superscript,a
26134466,159,160,OPT_ID_1162,optBsz2zC0X5OVaHGDJhkXrjHhZKtTYX8H4,1582184106579,au,clear-superscript,a
26134468,159,160,OPT_ID_1162,optAwvjxHUEwsyWhRo7u1PTFpb0GsJfYtPM,1582184106599,au,clear-superscript,a
26134470,159,160,OPT_ID_1162,opt5Drlt18t0gkw3NKvnUMe4WLF28TDd9iF,1582184106619,au,clear-superscript,a
26134472,159,160,OPT_ID_1162,optFw4Qo42MWV6iNidVq8BBdpVUr7Vlp6Lm,1582184106639,au,clear-superscript,a
